date,corn_BRL,chicken_BRL,pork_BRL,cult_area,corn_prod,chicken_prod,pork_prod,inflation,int_rate,usd_brl
12/01/22,77.37,5.52,6.35,21581,112832,14850,4850,5.90,13.75,5.24
11/01/22,78.21,5.27,6.45,,,,,6.47,13.75,5.27
10/01/22,77.96,5.34,6.32,,,,,7.17,13.75,5.29
09/01/22,78.13,5.34,6.22,,,,,8.73,13.75,5.40
08/01/22,76.63,5.43,6.16,,,,,9.60,13.25,5.12
07/01/22,76.48,5.43,11.35,,,,,10.07,13.25,5.31
06/01/22,79.74,5.43,10.67,,,,,11.89,12.75,4.78
05/01/22,81.66,5.33,10.63,,,,,11.73,11.75,5.03
04/01/22,82.17,5.13,10.24,,,,,12.13,11.75,4.70
03/01/22,89.66,4.94,10.26,,,,,11.30,10.75,5.05
02/01/22,89.46,4.81,11.05,,,,,10.54,9.25,5.28
01/01/22,86.19,4.89,10.88,,,,,10.38,9.25,5.63
12/01/21,79.51,5.05,11.10,19944,87097,14615,4701,10.06,7.75,5.62
11/01/21,79.59,5.31,11.21,,,,,10.74,7.75,5.67
10/01/21,83.04,5.45,11.53,,,,,10.67,6.25,5.39
09/01/21,85.34,5.42,11.45,,,,,10.25,5.25,5.16
08/01/21,89.09,5.27,11.46,,,,,9.68,4.25,5.14
07/01/21,83.71,4.84,11.26,,,,,8.99,4.25,5.01
06/01/21,82.35,4.49,8.19,,,,,8.35,3.50,5.16
05/01/21,88.83,4.35,6.59,,,,,8.06,2.75,5.41
04/01/21,82.70,4.21,6.13,,,,,6.76,2.75,5.68
03/01/21,76.68,4.16,6.54,,,,,6.10,2.00,5.58
02/01/21,75.30,3.99,6.45,,,,,5.20,2.00,5.46
01/01/21,72.58,3.92,6.76,,,,,4.56,2.00,5.16
12/01/20,69.21,3.96,7.12,18527,102586,13787,4436,4.52,2.00,5.28
11/01/20,72.02,3.91,8.05,,,,,4.31,2.00,5.69
10/01/20,60.42,3.70,7.10,,,,,3.92,2.00,5.64
09/01/20,51.58,3.56,6.63,,,,,3.14,2.00,5.37
08/01/20,45.84,3.44,5.83,,,,,2.44,2.25,5.28
07/01/20,42.00,3.38,4.65,,,,,2.31,2.25,5.37
06/01/20,41.34,3.25,4.25,,,,,2.13,3.00,5.36
05/01/20,42.63,3.02,3.93,,,,,1.88,3.75,5.54
04/01/20,44.72,2.92,4.53,,,,,2.40,3.75,5.24
03/01/20,44.55,3.00,4.88,,,,,3.30,4.25,4.49
